tag_id,language_id,pattern,example,iso_transliteration,sanskrit_translation,english_translation,gender_marking,syntactic_condition
15,2,हो रहा था/थी,मनीषा कपड़ा धो रही थी। नल से पानी टपक रहा था।,manīṣā kapaṛā dhō rahī thī. nala sē pānī ṭapaka rahā thā.,,,,
15,3,,ಮನೀಷಾ ಬಟ್ಟೆ ಒಗೆಯುತ್ತಿದ್ದಳು. ನಲ್ಲಿಯಿಂದ ನೀರು ಜಿನುಗುತ್ತಿತ್ತು.,"""nānu āḍide(nu) I played",,,,
16,1,, छात्राः वसन्ति स्म।,chātrāḥ vasanti sma.,,,,
16,2,रहा करते थे,पहले यहां छात्र रहा करते थे।,pahalē yahāṁ chātra rahā karatē thē.,,,,0-vibakti + imperfective participle with _ता + subjunctive form of होना
16,3,,ಮೊದಲು ಇಲ್ಲಿ ವಿದ್ಯಾರ್ಥಿಗಳು ಇರುತ್ತಿದ್ದರು.,avaru āḍidaru They played,,,,
17,1,"Past- सः/सा/तत् अभवत् (3s), ते/ताः/तानि अभवन् (3s pl) , त्वम् अभवः (2n si), यूयम् अभवत (2n pl), अहम् अभवम् (1s si), वयम् अभवाम (1s pl)  ",अत्र वर्षा अभवत्।,atra varṣā abhavat.,,,,
17,2,"Past- हुआ, हुई, हुए",यहाँ बारिश हुई।,yahām̐ bāriśa huī.,,,,
17,3,,ಇಲ್ಲಿ ಮಳೆ ಆಯಿತು.,ā dina nīvu aḍuge māḍiddiri.,,,,
18,1,निष्ठान्त,अहम् पठितवान्।,aham paṭhitavān.,,,,"The completive-perfect-past in Kannada is expressed by the auxiliary verb ಹೊಂದಿದೆ (hondide). It is formed by adding the auxiliary verb to the past participle of the main verb. For example, the verb ಕಲಿಯಲು (kaliyalu) means ""to learn"". The completive-perfect-past form of this verb is ಕಲಿತಿದೆ (kalitide).

The completive-perfect-past aspect indicates that an action has been completed and its result is still relevant. For example, the sentence ನಾನು ಕನ್ನಡವನ್ನು ಕಲಿತಿದೆ (naanu kannadavaannu kalitide) means ""I have learned Kannada"". This sentence indicates that the speaker has learned Kannada and is still able to speak and understand the language.

Here are some other examples of completive-perfect-past forms in Kannada:

    ತಿಂಡಿ ತಿಂದು ಹೊಂದಿದೆ (tindhi tindu hondide) - I have eaten lunch.
    ಪುಸ್ತಕ ಓದಿ ಹೊಂದಿದೆ (pustakanu oori hondide) - I have read the book.
    ಬಟ್ಟೆ ಒಗೆಯಲು ಹೊಂದಿದೆ (battae ogeyalu hondide) - I have washed the clothes.

The completive-perfect-past aspect can also be used to express an action that was completed before a certain time or event. For example, the sentence ಅವನು ಬರುವ ಮೊದಲು ನಾನು ಊಟ ಮಾಡಿದೆ (avanu baruva modalu naanu oota maadide) means ""I had eaten before he came"". This sentence indicates that the speaker had eaten lunch before the person mentioned in the sentence arrived."
18,2,"कर चुका है, चुका था, चुकी थी, चुके थे,  subject+ergative marker ने लिया है, लिया था",मै पढ चुका हॅू। मैने पढ लिया है। ,mai paḍha cukā hæū. mainē paḍha liyā hai.,,,,
18,3,,ನಾನು ಓದಿದ್ದೇನೆ. ನಾನು ಓದಿದ್ದೇನೆ,"nāvu āḍidevu We played """,,,,
19,1,लिट्,"रामः रावणं ममार।  वाल्मीकिः रामायणं लिलेख।
 रामः राजा बभूव । पाचयाञ्चकार। पाचयाम्बभूव। पाचयामास।","rāmaḥ rāvaṇaṁ mamāra. vālmīkiḥ rāmāyaṇaṁ lilēkha.
rāmaḥ rājā babhūva . pācayāñcakāra. pācayāmbabhūva. pācayāmāsa.",,,,
19,2,Subject Eargative ने + सामान्य भूतकाल आ/या प्रत्यय,Transitive: श्री राम ने रावण को मारा। वाल्मीकि जी ने रामायण लिखा। Intransitive: राम राजा हुए। ,transitive: śrī rāma nē rāvaṇa kō mārā. vālmīki jī nē rāmāyaṇa likhā. intransitive: rāma rājā huē.,,,,उत्तम पुरुष में लिट् लकार का प्रयोग स्वप्न या उन्मत्त अवस्था में ही किया जाता है।
19,3,,,avaḷu āḍidaḷu She played,,,,
20,1,अनद्यतन भूतकाल लङ्,भवान् तस्मिन् दिने भोजनमपचत्,bhavān tasmin dinē bhōjanamapacat,,,,
20,2," verb with आ प्रत्यय and Auxiliary verbs: था, थे, थी, थीं ",आपने उस दिन भोजन पकाया था,āpanē usa dina bhōjana pakāyā thā,,,,
20,3,,ಆ ದಿನ ನೀವು ಅಡುಗೆ ಮಾಡಿದ್ದಿರಿ.,"nāvu āḍidevu We played""",,,,
21,1,आसन्न / अद्यतन भूतकाल,मैने अभी पुस्तक पढी है। उसने पढ लिया है। मैने किताब पढ ली है। -- we require Sanskrit example,mainē abhī pustaka paḍhī hai. usanē paḍha liyā hai. mainē kitāba paḍha lī hai. -- we require Sanskrit example,,,,
21,2,आसन्न भूत (Immediate Past),मैने अभी पुस्तक पढी है। उसने पढ लिया है। मैने किताब पढ ली है। ,mainē abhī pustaka paḍhī hai. usanē paḍha liyā hai. mainē kitāba paḍha lī hai.,,,,
21,3,,"""ನಾನು ಪುಸ್ತಕ ಓದಿದೆ.
ಅವನು ಓದಿದ್ದನು.
ನಾನು ಪುಸ್ತಕ ಓದಿದ್ದೆ.
ಅವನು ಹೋಗಿಬಿಟ್ಟಿದ್ದನು.
ಅವರು ಪುಸ್ತಕವನ್ನು ಓದಿದ್ದರು""",avaru āḍidaru They played,,,,
22,1,"-अक, -कर in compound",सा लेखिका आसीत्।,sā lēkhikā āsīt.,,,,
22,2,जातिवाचक कृदन्त ,वह लेखक था।,vaha lēkhaka hai.,,,,
22,3,The habitual aspect in Kannada is expressed using the verb root followed by  suffixes -ಪ್ರತಿ (-prathi) and -ತುತ್ತ (-tutha) [google],,,,,,
23,1,त्-त,अहम् अक्रीडम्। वयम् अक्रीडाम। त्वम् अक्रीडः। सः/सा अक्रीडत्। ह्यः वृष्टिः आसीत्/,aham akrīḍam. vayam akrīḍāma. tvam akrīḍaḥ. saḥ/sā akrīḍat. hyaḥ vr̥ṣṭiḥ āsīt/,,,,
23,2,"Verb - आ, ई, ए + Aux verb था, थी, थे","पिछले साल, मैं भारत गया था |","pichalē sāla, maiṁ bhārata gayā thā .",,,,
23,3,adding d before personal endings,"ನಾನು ಆಡಿದೆ(ನು) I played
 ನಾವು ಆಡಿದೆವು We played
 ನೀನು ಆಡಿದೆ You played (singular)
 ನೀವು ಆಡಿದಿರಿ You played (plural)
 ಅವನು ಆಡಿದ(ನು) He played
 ಅವಳು ಆಡಿದಳು She played
 ಅವರು ಆಡಿದರು They played
 ನಾವು ಆಡಿದೆವು We played","""nānu āḍide(nu) I played",,,,
24,1,Noun/कृदन्त+ Aux verb अस्/भू,ह्यः वृष्टिः वर्षन्ती आसीत्?,hyaḥ vr̥ṣṭiḥ varṣantī āsīt?,,,,
24,2,"Verb in past with suffix- आ, ई, ए + Aux verb (m. sing)था, (f.sing) थी, (m.plu)थे","""मै खेला था। हम खेले थे। तुम खेले थे। वो खेला था। वह खेली थी। कल बारिश हो रही थी | “It was raining yesterday.”
पिछले साल, मैं भारत गया था | “I had gone to India last year.”""","""mai khēlā thā. hama khēlē thē. tuma khēlē thē. vō khēlā thā. vaha khēlī thī. kala bāriśa hō rahī thī . “it was raining yesterday.”
pichalē sāla, maiṁ bhārata gayā thā . “i had gone to india last year.”""",,,,
24,3,,"ನಾನು ಆಡಿದೆ(ನು)        I played
ನಾವು ಆಡಿದೆವು        We played
ನೀನು ಆಡಿದೆ        You played (singular)
ನೀವು ಆಡಿದಿರಿ        You played (plural)
ಅವನು ಆಡಿದ(ನು)        He played
ಅವಳು ಆಡಿದಳು        She played
ಅವರು ಆಡಿದರು        They played
ನಾವು ಆಡಿದೆವು        We played  ",nāvu āḍidevu We played,,,,
25,1,"लोट् / विधिलिङ्/आशीर्लिङ् only in positive -  भव - भवतु /भवेत्  अभिलाषो मे + लिङ्, कामो मे+लिङ्, कच्चित्+लट्","सर्वे अत्र सुखिनः सन्तु।
तव पुत्रः यशस्वी भूयात्।","sarvē atra sukhinaḥ santu.
tava putraḥ yaśasvī bhūyāt.",,,,
25,2,"1s/2s/3s/ हो, रहो, आप You-plural-honor बने, रहे,  काश",मेरा तुम्हारा उसका  सत्यानाश हो।  1s/2s/3s.gen destruction be.opt May I/you/he be destroyed.  आप यहासे जाए। You.pl/hon. here-abl. go-3P/hon. You may go from here. आप मुख्यमंत्री बने। काश मै अमीर होता।,mērā tumhārā usakā satyānāśa hō. 1s/2s/3s.gen destruction be.opt may i/you/he be destroyed. āpa yahāsē jāē. you.pl/hon. here-abl. go-3p/hon. you may go from here. āpa mukhyamaṁtrī banē. kāśa mai amīra hōtā.,,,,
25,3,"/avaLu/+/ma:Dali/=/avaLu 
ma:Dali/(Let her do).","1.           ಹುಡುಗರು ಮೊದಲು ಊಟ ಮಾಡಲಿ.
1.           Let the kids eat first
2.           ಅವನು ಬಂದರೆ ಬಂದರೆ ಬರಲಿ ನನಗೇನು
2.           Let him come if he will, what do I care
3.           ದೇವರೆ ಸಕಾಲಕ್ಕೆ ಮಳೆ ಬೀಳಲಿ.
3.           O god let the rains come in time                    
4.           ಅವನು ಸಂತೋಷವಾಗಿ ನಿವೃತ್ತಿ ಜೀವನ ಕಳೆಯಲಿ.
4.           May he spend the retirement happily?
","nānu cikkavanu/magu iddāga... janaru rajege śimlākke hōguttiddavaru īga massūrige hōguttāre. .... ellā makkaḷu maidānadalli āḍuttiddaru, iṁdina dinagaḷalli kaṁpyūṭarnalli āḍuttāre.",,,,
26,1,लट् (यावद् - तावद्),"यावद् अहम् आगच्छामि तावद् अपेक्षस्व। आर्य माधव्य, अवलम्बस्व चित्रफलकं यावद् आगच्छामि। (बृहद् अनुवाद चन्द्रिका) ","yāvad aham āgacchāmi tāvad apēkṣasva. ārya mādhavya, avalambasva citraphalakaṁ yāvad āgacchāmi. (br̥had anuvāda candrikā)",,,,
26,2,,"जब तक मै वापस आऊ, तुम प्रतीक्षा करो। आर्य माधव्य, मेरे आने तक इस चित्रफलक को पकडो। (बृहद् अनुवाद चन्द्रिका)","jaba taka mai vāpasa āū, tuma pratīkṣā karō. ārya mādhavya, mērē ānē taka isa citraphalaka kō pakaḍō. (br̥had anuvāda candrikā)",,,,
26,3,,"ನಾನು ಬರುವ ವರೆಗೆ ನೀನು ಕಾಯಿ, ಆರ್ಯ ಮಾಧವ, ನಾನು ಬರುವ ತನಕ ಈ ಛಾಯಾಗ್ರಹಣವನ್ನು ಹಿಡಿದುಕೊ.",,,,,
27,1,लट्,सूर्यः उदेति। सः फलं खादति। जलं आपूर्यमाणम् अस्ति। जलं पूर्यते। वर्षा भवति।,sūryaḥ udēti. saḥ phalaṁ khādati. jalaṁ āpūryamāṇam asti. jalaṁ pūryatē. varṣā bhavati.,,,,"The iterative aspect in Kannada is called ಪುನರಾವರ್ತನೆ (punaravartane). It is used to express an action that is repeated a number of times. The iterative aspect is formed by adding the suffix -ಪು (-pu) to the verb stem. For example, the verb ಕಲಿಯು (kaliyu) means ""to learn."" The iterative form of this verb is ಕಲಿಯುಪು (kaliyupu), which means ""to learn repeatedly.""

Here are some examples of the iterative aspect in Kannada:

    ನಾನು ಪುಸ್ತಕವನ್ನು ಓದುತ್ತಿದ್ದೆ. (naanu pusthakavannu odutthidde.) - I was reading the book.
    ನಾನು ಪುಸ್ತಕವನ್ನು ಮತ್ತೆ ಮತ್ತೆ ಓದುತ್ತಿದ್ದೆ. (naanu pusthakavannu matte matte odutthidde.) - I was reading the book repeatedly.
    ನಾನು ಅವನನ್ನು ಕೇಳುತ್ತಿದ್ದೆ. (naanu avanannu keluttidde.) - I was asking him.
    ನಾನು ಅವನನ್ನು ಮತ್ತೆ ಮತ್ತೆ ಕೇಳುತ್ತಿದ್ದೆ. (naanu avanannu matte matte keluttidde.) - I was asking him repeatedly.

The iterative aspect can also be used to express an action that is done in a series of steps. For example, the verb ಬೇಯಿಸು (beyisu) means ""to cook."" The iterative form of this verb is ಬೇಯಿಸುತ್ತಿದ್ದು (beyisutthiddu), which means ""to cook in a series of steps.""

Here is an example of the iterative aspect used to express an action that is done in a series of steps:

    ಅವಳು ಅಡುಗೆ ಮಾಡುತ್ತಿದ್ದಳು. (avalu aduve maaduththiddlu.) - She was cooking.
    ಅವಳು ಅಡುಗೆಯನ್ನು ಹಂತ ಹಂತವಾಗಿ ಮಾಡುತ್ತಿದ್ದಳು. (avalu aduveyannu hanta hantaavaagi maaduththiddlu.) - She was cooking the dish in a series of steps."
27,2,"रहा, रहे, रही, हो रहा है, हो रही है, हो रहे है",सूरज उग रहा है। वह फल खा रहा है।  पानी भर रहा है। बारिश हो रही है।,sūraja uga rahā hai. vaha phala khā rahā hai. pānī bhara rahā hai. bāriśa hō rahī hai.,,,,"The iterative aspect in Hindi is called पौनःपुन्य पक्ष (pōnaḥpuny pakṣa). It is a grammatical aspect that expresses the repetition of an event observable on one single occasion. For example, the Hindi sentence वह दरवाज़ा खटखटा रहा है (vah darwaza khatkhaṭa raha hai) means ""He is knocking on the door,"" which expresses the repetition of the action of knocking.

Here are some other examples of iterative aspect in Hindi:

    वह खाना खा रहा है (vah khānā khā raha hai) - He is eating food (repeatedly)
    वह हँस रहा है (vah hans raha hai) - He is laughing (repeatedly)
    वह दौड़ रहा है (vah daud raha hai) - He is running (repeatedly)

The iterative aspect is often marked by the repetition of the verb stem, as in the examples above. However, it can also be marked by the use of certain auxiliary verbs, such as रहना (rahnā) or जाना (jānā). For example, the Hindi sentence वह खाता रहा (vah khātā raha) means ""He kept eating,"" which expresses the repeated action of eating."
27,3,,ಸೂರ್ಯ ಉದಯಿಸುತ್ತಿದ್ದಾನೆ. ಅವನು ಹಣ್ಣು ತಿನ್ನುತ್ತಿದ್ದಾನೆ. ನೀರು ತುಂಬುತ್ತಿದೆ. ಮಳೆ ಬರುತ್ತಿದೆ.,,,,,
