tag_id,language_id,example,iso_transliteration,sanskrit_translation,english_translation,explanation,markers,syntactic_condition
4,2,,,,,,,
4,3,,,,,,,
5,1,देवदत्तः गां पयो दोग्धि। ,dēvadattaḥ gāṁ payō dōgdhi.,Literal translation: Devadutta milks the cow the milk.,,"From a modern point of view, one may say that of the two
objects, the one which is more animate, agentive, affected and
must  be accessed first, gets the nominative in the passive
construction. In any case, we must accept that there is variation
in Sanskrit usage, which can be handled best by listing those
verbs which can optionally take two objects. (Madhav Deshpande in Sanskirt Primer)",,
5,2,,,,,,,
5,3,,,,,,,
6,1,"दैवहतस्य नरस्य मतिः मोमुह्यते। 
नरो बधिरः इति अज्ञात्वा राजा तं परिपृच्छ्यते।
देदीप्यमानां कन्यां राजकुमारः ददर्श।","daivahatasya narasya matiḥ mōmuhyatē.
narō badhiraḥ iti ajñātvā rājā taṁ paripr̥cchyatē.
dēdīpyamānāṁ kanyāṁ rājakumāraḥ dadarśa.","The mind of a person struck by fate gets delude.
Not knowing that the man was deaf, the king asks him again
and again.
The prince saw the exceedingly bright princess",,,,
6,2,,,,,,,
6,3,,,,,,,
7,1,"हे राजन्, यद् क्षितिधेनुम् एतां दुधुक्षसि तर्हि वत्सम् इव लोकम् अमुं पुषाण।
वीरः शत्रुराज्यम विजिगीषतु।
को नाम जनो धनं नेप्स्यति।","kō nāma janō dhanaṁ nēpsyati.
vīraḥ śatrurājyama vijigīṣatu.
hē rājan, yad kṣitidhēnum ētāṁ dudhukṣasi tarhi vatsam iva lōkam amuṁ puṣāṇa.",,,,,
7,2,,,,,,,
7,3,,,,,,,
