tag_id,language_id,verbal,example,iso_transliteration,case,sanskrit_translation,english_translation,gender_marking,is_part_of_tam
4,3,"ಕ್ರಿಯೆ, ಕೆಲಸ, ವೃತ್ತಿ
---
ಮಾಡುವುದು,ಹೋಗುವುದು.","ಕ್ರಿಯೆ, ಕೆಲಸ, ವೃತ್ತಿ
ಲಕ್ಷ್ಮಣನ ಕ್ರಿಯೆಯು ಇದೆ.
---
ಮಾಡುವುದು,ಹೋಗುವುದು.

ರಾಮನ ಚಿಂತನೆಯಾಗಿದೆ ಕೃಷ್ಣನು ಪುಸ್ತಕವನ್ನು ಓದಲಿ ಎಂದು .
ಸೀತೆಯ ಗಮನವಾಗುತ್ತದೆ .
ರಾಮನ ಗಮನವಾಗುತ್ತದೆ.","lakṣmaṇana kriyeyu ide.
---
rāmana ciṁtaneyāgide kr̥ṣṇanu pustakavannu ōdali eṁdu .
sīteya gamanavāguttade .
rāmana gamanavāguttade.","
---
---","
---
---","[Lakshmana] [work] [there] [is]
---
[Rama] [thinks][Krishna] [read][books]","---
---
---","---
---
---"
4,1,"क्तिन्
कृतिः, वृत्तिः, भक्तिः
---
ल्युट्
करणम्, गमनम्","कृतिः, वृत्तिः, भक्तिः
लक्ष्मणस्य कृतिः अस्ति।
---
करणम्, गमनम्
रामस्य चिन्तनम् अस्ति यत् कृष्णः पुस्तकं पठेत्।","lakṣmaṇasya kr̥tiḥ asti.
---
rāmasya cintanam asti yat kr̥ṣṇaḥ pustakaṁ paṭhēt.","[लक्ष्मण ६.१] [कृ+क्तिन्+सुप् स्त्री १.१] [अस्-तिप् लट्-प्र-एक]
---
[राम ६.१] [चित्+ल्युट् - नपुं १.१] [अस्+तिप् - लट्-प्र-एक] [यत् - अव्य] [कृष्ण १.१] [पुस्तक २.१] [पठ् + तिप् - विधिलिङ्-प्र-एक]","---
---
---","---
---
---","---
---
---","---
---
---"
5,2,"जाकर (कर)
---
जाकर, आकर (कर)","जाकर (कर)
सीता स्कूल जाकर पढ़ती है।
---
जाकर, आकर (कर)
सीता स्कूल आकर पढ़ती है।","sītā skūla jākara paṛhatī hai.
---
sītā skūla ākara paṛhatī hai.","[सीता] [स्कूल] [जाकर] [पढ़ती] [है]
---
[सीता] [स्कूल] [आकर] [पढ़ती] [है]","[सीता १.१] [शालां २.१] [गम्+क्त्वा - अव्यय] [पठ्+तिप् लट्-प्र-एक]
---
[सीता १.१] [शालां २.१] [आ+गम्+ल्यप्-अव्यय] [पठ्+तिप् लट्-प्र-एक]","[Seetha] [school] [goes] [there] [studies]
---
[Seetha] [school] [comes] [studies]","---
---
---","---
---
---"
5,3,"ಮಾಡಿದ ನಂತರ / ಹೋದ ನಂತರ / ತಲುಪಿದ ನಂತರ
---
ಬಂದು.","ಮಾಡಿದ ನಂತರ / ಹೋದ ನಂತರ / ತಲುಪಿದ ನಂತರ
ಸೀತಾಳು ಶಾಲೆಗೆ ಹೋಗಿ ಓದುತ್ತಾಳೆ. Seetha goes to school and studies there.
---
ಬಂದು.
ಸೀತೆಯು ಶಾಲೆಯಿಂದ ಬಂದು ಓದುತ್ತಾಳೆ.","sītāḷu śālege hōgi ōduttāḷe. Seetha goes to school and studies there.
---
sīteyu śāleyiṁda baṁdu ōduttāḷe.","---
---
---","---
---
---","[Seetha] [school] [goes] [there] [studies]
---
[Seetha] [school] [comes] [studies]","---
---
---","---
---
---"
5,1,"क्त्वा
कृत्वा
---
ल्यप्
प्रकृत्य आगत्य","कृत्वा
सीता शालां गत्वा पठति।
---
प्रकृत्य आगत्य
सीता शालाम् आगत्य पठति।","sītā śālāṁ gatvā paṭhati.
---
sītā śālām āgatya paṭhati.","[सीता १.१] [शालां २.१] [गम्+क्त्वा - अव्यय] [पठ्+तिप् लट्-प्र-एक]
---
[सीता १.१] [शालां २.१] [आ+गम्+ल्यप्-अव्यय] [पठ्+तिप् लट्-प्र-एक]","---
---
---","
---
---","---
---
---","---
---
---"
6,2,"करना चाहिए, करने योग्य (ना चाहिए, ने योग्य/लायक)
---
करने योग्य, करना चाहिए
---
करने योग्य, करना चाहिए","करना चाहिए, करने योग्य (ना चाहिए, ने योग्य/लायक)
यह काम मुझे करना चाहिए। यह काम करने योग्य है।
---
करने योग्य, करना चाहिए
यह करने योग्य काम है।/ यह कृति करनी चाहिए।
---
करने योग्य, करना चाहिए
मुझे लिखना चाहिए।/ मुझे कविता लिखनी चाहिए।","yaha kāma mujhē karanā cāhiē. yaha kāma karanē yōgya hai.
---
yaha karanē yōgya kāma hai./ yaha kr̥ti karanī cāhiē.
---
mujhē likhanā cāhiē./ mujhē kavitā likhanī cāhiē.","[यह] [काम] [मुझे] [करना चाहिए]
---
[यह] [करने योग्य] [काम] [है]
---
[मुझे] [लिखना] [चाहिए]","[इदम् १.१] [कार्य १.१] [मया ३.१] [कृ+अनीयर्+सुप् नपुं १.१]
---
[इदम् १.१] [कृ+ल्युट्+सुप् नपुं ७.१] [योग्य १.१] [कर्म १.१] [अस्+तिप् - लट्-प्र-एक]
---
[मया ३.१] [लिख्+ल्युट्+सुप् नपुं १.१] [कृ+तव्यत्+सुप् नपुं १.१]","[this] [work] [I] [do]
---
[This] [to do] [suitable] [work]
---
[I] [this] [write]/
[I] [this] [poem] [write]",---,---
6,3,"ಮಾಡಬೇಕು , ಮಾಡಬಹುದಾದ
---
ಮಾಡಲು ಯೋಗ್ಯವಾದ, ಮಾಡಬಹುದಾದ, ಮಾಡಬೇಕಾದ
---
ಮಾಡಲು ಯೋಗ್ಯವಾದ, ಮಾಡಬಹುದಾದ, ಮಾಡಬೇಕಾದ","ಮಾಡಬೇಕು , ಮಾಡಬಹುದಾದ
ಈ ಕಾರ್ಯವನ್ನು ನಾನು ಮಾಡಬೇಕು. ಈ ಕಾರ್ಯವನ್ನು ಮಾಡಬಹುದಾಗಿದೆ.
---
ಮಾಡಲು ಯೋಗ್ಯವಾದ, ಮಾಡಬಹುದಾದ, ಮಾಡಬೇಕಾದ
ಇದು ಮಾಡಲು ಯೋಗ್ಯವಾದ ಕೆಲಸವಾಗಿದೆ. This work is suitable to do.
ಈ ಕ್ರಿಯೆಯನ್ನು ಮಾಡಬೇಕು. I should do this work.
---
ಮಾಡಲು ಯೋಗ್ಯವಾದ, ಮಾಡಬಹುದಾದ, ಮಾಡಬೇಕಾದ
ನಾನು ಇದನ್ನು ಬರೆಯಬೇಕು / ನಾನು ಈ ಕವಿತೆಯನ್ನು ರಚಿಸಬೇಕು . I should write this / I should compose this poem .","ī kāryavannu nānu māḍabēku.
ī kāryavannu māḍabahudāgide.
---
idu māḍalu yōgyavāda kelasavāgide. This work is suitable to do.
ī kriyeyannu māḍabēku. I should do this work.
---
nānu idannu bareyabēku / nānu ī kaviteyannu racisabēku . I should write this / I should compose this poem .","---
---
---
---
---","---
---
---
---
---","[this] [work] [I] [do]
---
[This] [to do] [suitable] [work]
---
[I] [this] [write]/
[I] [this] [poem] [write]",---,---
6,1,"अनीयर्
करणीयम्, करणीयः, करणीया
---
ण्यत्/यत्/क्यप्
कार्यः, कार्या, कार्यम्
---
तव्यत्
कर्तव्यम्, कर्तव्यः, कर्तव्याः","करणीयम्, करणीयः, करणीया
इदं कार्यं मया करणीयम्। इदं करणीयं कार्यम्।
---
कार्यः, कार्या, कार्यम्
इयं कार्या कृतिः।/ इदं तेन कार्यं।/एतत् मम कार्यम् अस्ति।
---
कर्तव्यम्, कर्तव्यः, कर्तव्याः
मया लेखनं कर्तव्यम्।/ मया लेखितव्यम् / श्लोकः लेखितव्यः","idaṁ kāryaṁ mayā karaṇīyam. idaṁ karaṇīyaṁ kāryam.
---
iyaṁ kāryā kr̥tiḥ./ idaṁ tēna kāryaṁ./ētat mama kāryam asti.
---
mayā lēkhanaṁ kartavyam./ mayā lekhitavyam/ ślōkaḥ lēkhitavyaḥ","[इदम् १.१] [कार्य १.१] [मया ३.१] [कृ+अनीयर्+सुप् नपुं १.१]
---
[इदम् १.१] [कृ+ण्यत् स्त्री १.१] [कृ+क्तिन् स्त्री १.१]
---
[मया ३.१] [लिख्+ल्युट्+सुप् नपुं १.१] [कृ+तव्यत्+सुप् नपुं १.१]
[मया ३.१] [लिख्+तव्यत्+सुप् नपुं १.१]","---
---
---
---
---","---
---
---
---
---",---,---
7,2,"करते हुए, करती हुई, करता हुआ
---
करते हुए, करती हुई, करता हुआ","करते हुए, करती हुई, करता हुआ
गाती हुई लड़की आ रही है।
---
करते हुए, करती हुई, करता हुआ
लड़का खाते हुए जा रहा है।","gātī huī laṛakī ā rahī hai.
---
laṛakā khātē huē jā rahā hai.","---
---
---","[गायत् + शतृ - स्त्री १.१] [बालिका १.१] [आ+गम्+तिप् - लट्-प्र-एक]
---
[बालकः १.१] [खाद्+शतृ - पुं १.१] [गम्+तिप् - लट्-प्र-एक]","[sing] [girl] [come]
---
[Boy] [eat] [go]","---
---
---","---
---
---"
7,3,"ಮಾಡುತ್ತಾ
---
ಮಾಡುತ್ತಾ","ಮಾಡುತ್ತಾ
ಹಾಡಿಕೊಂಡು ಹುಡುಗಿ ಬರುತ್ತಿದ್ದಾಳೆ. The girl is coming while singing the song .
---
ಮಾಡುತ್ತಾ
ಬಾಲಕನು ತಿನ್ನುತ್ತಾ ಹೋದನು. The boy was eating while going.","hāḍikoṁḍu huḍugi baruttiddāḷe. The girl is coming while singing the song .
---
bālakanu tinnuttā hōdanu. The boy was eating while going.","---
---
---","---
---
---","[sing] [girl] [come]
---
[Boy] [eat] [go]","---
---
---","---
---
---"
7,1,"शानच्
कुर्वाणः, कुर्वाणा, कुर्वाणम्
---
शतृ
कुर्वन्, कुर्वती, कुर्वत्","कुर्वाणः, कुर्वाणा, कुर्वाणम्
गायन्ती बालिका आगच्छति।
---
कुर्वन्, कुर्वती, कुर्वत्
बालकः खादन् गच्छति।","gāyantī bālikā āgacchati.
---
bālakaḥ khādan gacchati.","[गायत् + शतृ - स्त्री १.१] [बालिका १.१] [आ+गम्+तिप् - लट्-प्र-एक]
---
[बालकः १.१] [खाद्+शतृ - पुं १.१] [गम्+तिप् - लट्-प्र-एक]","---
---
---","---
---
","---
---
---","---
---
---"
8,2,करने के लिए,"करने के लिए
पढ़ने के लिए विद्यालय जाता/जाती है।",paṛhanē kē liē vidyālaya jātā/jātī hai.,[पढ़ने_के_लिए] [विद्यालय] [जाता] [है],[पठ्+तुमुन् - अव्य] [विद्यालय १.१] [गम्+तिप् - लट्-प्र-एक],[to read] [school] [goes] [he],---,---
8,3,ಮಾಡುವುದಕ್ಕಾಗಿ,"ಮಾಡುವುದಕ್ಕಾಗಿ
ಓದುವುದಕ್ಕಾಗಿ ವಿದ್ಯಾಲಯಕ್ಕೆ ಹೋಗುತ್ತಾನೆ. To read he goes to school.",ōduvudakkāgi vidyālayakke hōguttāne. To read he goes to school.,---,---,[to read] [school] [goes] [he],---,---
8,1,"तुमुन्
कर्तुम्","कर्तुम्
पठितुं विद्यालयं गच्छति।",paṭhituṁ vidyālayaṁ gacchati.,[पठ्+तुमुन् - अव्य] [विद्यालय १.१] [गम्+तिप् - लट्-प्र-एक],---,---,---,---
9,2,करना चाहता/चाहती है।,"करना चाहता/चाहती है।
वह काम करना चाहता/चाहती है।",vaha kāma karanā cāhatā/cāhatī hai.,---,[सः] [कार्यं] [कृ+तुमुन् - अव्य] [इष्+तिप् - लट्-प्र-एक],[He] / [She] [this] [work] [do],---,---
9,3,ಮಾಡುವುದಕ್ಕಾಗಿ/ ಮಾಡಬಹುದು,"ಮಾಡುವುದಕ್ಕಾಗಿ/ ಮಾಡಬಹುದು
ರಾಮನು ಈ ಕಾರ್ಯವನ್ನು ಮಾಡಬಹುದು. Rama can do this work
ರಾಮನು ಈ ಕಾರ್ಯವನ್ನು ಮಾಡುವುದರಲ್ಲಿ ಸಕ್ಷಮನಾಗಿದ್ದಾನೆ. Rama is capable of doing the work.
ರಾಮನು ಓದಲು ಶಾಲೆಗೆ ಹೋಗುತ್ತಾನೆ. Rama goes to school to read.","rāmanu ī kāryavannu māḍabahudu. Rama can do this work
rāmanu ī kāryavannu māḍuvudaralli sakṣamanāgiddāne. Rama is capable of doing the work.
rāmanu ōdalu śālege hōguttāne. Rama goes to school to read.",---,---,"[Rama] [this] [work] [do]
[Rama] [this] [work] [do] [capable]",---,---
9,1,"तुमुन्
कर्तुम्","कर्तुम्
रामः कर्तुं इच्छति।",rāmaḥ kartuṁ icchati.,[रामः १.१] [कृ+तुमुन् - अव्य] [इष्+तिप् - लट्-प्र-एक],---,---,---,---
10,2,कर सकता है,"कर सकता है
राम कर सकता है।
राम करने में सक्षम है।/राम काम करने के लिए सक्षम है।","rāma kara sakatā hai.
rāma karanē mēṁ sakṣama hai./rāma kāma karanē kē liē sakṣama hai.",,[रामः १.१] [कृ+तुमुन् - अव्य] [शक्+तिप् - लट्-प्र-एक],"[Rama] [do] [work]
[Rama] [capable] [do] [work] /  [Rama] [capable] [to do] [work]",---,---
10,3,ಮಾಡಬಹುದು.,"ಮಾಡಬಹುದು.
ರಾಮನು ಮಾಡಬಹುದು. Rama can do that.
ರಾಮನು ಮಾಡುವುದರಲ್ಲಿ ಸಕ್ಷಮನಾಗಿದ್ದಾನೆ. Rama is capable of doing the work.
ರಾಮನು ಮಾಡಬಲ್ಲನು.
Rama is capable of doing the work.","rāmanu māḍabahudu. Rama can do that.
rāmanu māḍuvudaralli sakṣamanāgiddāne. Rama is capable of doing the work.
rāmanu māḍaballanu.
Rama is capable of doing the work.",,,"[Rama] [do] [work]
[Rama] [capable] [do] [work]",---,---
10,1,"तुमुन्
कर्तुम्","कर्तुम्
रामः कर्तुं शक्नोति।
रामः कर्तुं समर्थः अस्ति।","rāmaḥ kartuṁ śaknōti.
rāmaḥ kartuṁ samarthaḥ asti.",[रामः १.१] [कृ+तुमुन् - अव्य] [शक्+तिप् - लट्-प्र-एक],,,---,---
